 [ fecha 2015/03/29 17:41:14 ] Cliente [ 127.0.0.1 ] [ busqueda ] [ cinco ] 
 [ fecha 2015/03/29 17:41:25 ] Cliente [ 127.0.0.1 ] [ lectura ] [ cinco , 5 , 52 , 5 , 5.00 , M ] 
 [ fecha 2015/03/29 18:53:31 ] Cliente [ 58.127.0.0 ] [ lectura ] [ uno , 1 , uno , 1 , 1.00 , M ] 
 [ fecha 2015/03/29 18:53:35 ] Cliente [ 58.127.0.0 ] [ lectura ] [ dos , 2 , 2no , 2 , 2.00 , M ] 
 [ fecha 2015/03/29 18:53:48 ] Cliente [ 58.127.0.0 ] [ lectura ] [ tres , 3 , tres , 3 , 3.00 , M ] 
 [ fecha 2015/03/29 18:53:53 ] Cliente [ 58.127.0.0 ] [ lectura ] [ dos , 2 , 2no , 2 , 2.00 , M ] 
 [ fecha 2015/03/29 18:58:25 ] Cliente [ 127.0.0.1 ] [ borrado ] [ cinco , 5 , 52 , 5 , 5.00 , M ] 
 [ fecha 2015/03/29 18:58:27 ] Cliente [ 127.0.0.1 ] [ borrado ] [ cuatro , 4 , 4 , 4 , 4.00 , M ] 
 [ fecha 2015/03/29 18:58:43 ] Cliente [ 127.0.0.1 ] [ lectura ] [ cuatro , 4 , 4 , 4 , 4.00 , M ] 
 [ fecha 2015/03/29 18:58:59 ] Cliente [ 127.0.0.1 ] [ borrado ] [ cuatro , 4 , 4 , 4 , 4.00 , M ] 
 [ fecha 2015/03/29 18:59:04 ] Cliente [ 127.0.0.1 ] [ borrado ] [ tres , 3 , tres , 3 , 3.00 , M ] 
 [ fecha 2015/03/29 18:59:11 ] Cliente [ 127.0.0.1 ] [ lectura ] [ uno , 1 , uno , 1 , 1.00 , M ] 
 [ fecha 2015/03/29 18:59:16 ] Cliente [ 127.0.0.1 ] [ lectura ] [ dos , 2 , 2no , 2 , 2.00 , M ] 
 [ fecha 2015/03/29 18:59:25 ] Cliente [ 127.0.0.1 ] [ borrado ] [ dos , 2 , 2no , 2 , 2.00 , M ] 
 [ fecha 2015/03/29 18:59:30 ] Cliente [ 127.0.0.1 ] [ lectura ] [ dos , 2 , 2no , 2 , 2.00 , M ] 
 [ fecha 2015/03/29 18:59:42 ] Cliente [ 127.0.0.1 ] [ borrado ] [ dos , 2 , 2no , 2 , 2.00 , M ] 
 [ fecha 2015/03/29 18:59:44 ] Cliente [ 127.0.0.1 ] [ lectura ] [  , 2 , 2no , 2 , 2.00 , M ] 
 [ fecha 2015/03/29 18:59:56 ] Cliente [ 127.0.0.1 ] [ lectura ] [  , 2 , 2no , 2 , 2.00 , M ] 
 [ fecha 2015/03/29 19:00:16 ] Cliente [ 127.0.0.1 ] [ lectura ] [  , 2 , 2no , 2 , 2.00 , M ] 
 [ fecha 2015/03/29 19:00:21 ] Cliente [ 127.0.0.1 ] [ lectura ] [  , 2 , 2no , 2 , 2.00 , M ] 
